title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
City Lights,City Lights,901,tt0021749,false,87,1500000,4250000,1683,8.351,en,1931-02-01
The City of Lost Children,La Cité des Enfants Perdus,902,tt0112682,false,108,18000000,1738611,841,7.337,fr,1995-08-17
Cool Hand Luke,Cool Hand Luke,903,tt0061512,false,127,3200000,16217773,1086,7.76,en,1967-06-22
The Pride of the Firm,Der Stolz der Firma,904,tt0006102,false,40,0,0,1,10,de,1914-04-30
Pandora\'s Box,Die Büchse der Pandora,905,tt0018737,false,133,0,0,161,7.6,de,1929-01-30
The Three from the Filling Station,Die Drei von der Tankstelle,906,tt0020842,false,90,0,0,16,6.3,de,1930-09-15
Doctor Zhivago,Doctor Zhivago,907,tt0059113,false,200,11000000,111858363,890,7.552,en,1965-12-22
Schnitzel Paradise,Het Schnitzelparadijs,908,tt0446460,false,82,850000,0,26,5.6,nl,2005-09-08
Meet Me in St. Louis,Meet Me in St. Louis,909,tt0037059,false,113,1707561,7566000,269,7.032,en,1944-11-28
The Big Sleep,The Big Sleep,910,tt0038355,false,116,1600000,4900000,795,7.683,en,1946-08-23
The Bank Dick,The Bank Dick,911,tt0032234,false,72,0,0,90,6.4,en,1940-11-29
The Thomas Crown Affair,The Thomas Crown Affair,912,tt0063688,false,102,4300000,0,356,6.9,en,1968-06-26
The Thomas Crown Affair,The Thomas Crown Affair,913,tt0155267,false,113,48000000,124305181,947,6.714,en,1999-08-06
The Great Dictator,The Great Dictator,914,tt0032553,false,125,2000000,11000000,2685,8.35,en,1940-10-15
Bullitt,Bullitt,916,tt0062765,false,113,5500000,42300873,846,7.176,en,1968-10-17
Mother India,मदर इण्डिया,917,tt0050188,false,172,0,0,77,7.364,hi,1957-02-13
Blind Date,Blind Date,918,tt0092666,false,95,18000000,39321715,383,5.991,en,1987-03-27
Blood: The Last Vampire,Blood: The Last Vampire,919,tt0275230,false,48,0,0,241,6.84,ja,2000-11-18
Cars,Cars,920,tt0317219,false,117,120000000,461983149,11857,6.9,en,2006-06-08
Cinderella Man,Cinderella Man,921,tt0352248,false,144,88000000,108539911,1807,7.544,en,2005-06-02
Dead Man,Dead Man,922,tt0112817,false,121,9000000,103800000,1237,7.3,en,1995-12-23
Dawn of the Dead,Dawn of the Dead,923,tt0077402,false,127,650000,55000000,1657,7.498,en,1978-09-02
Dawn of the Dead,Dawn of the Dead,924,tt0363547,false,101,26000000,102278712,3215,7.013,en,2004-03-19
Do the Right Thing,Do the Right Thing,925,tt0097216,false,120,6500000,37295445,1352,7.788,en,1989-06-14
Galaxy Quest,Galaxy Quest,926,tt0177789,false,101,45000000,90683916,1774,7.065,en,1999-12-23
Gremlins,Gremlins,927,tt0087363,false,106,11000000,153083102,5347,7.082,en,1984-06-07
Gremlins 2: The New Batch,Gremlins 2: The New Batch,928,tt0099700,false,106,50000000,41482207,2066,6.396,en,1990-06-15
Godzilla,Godzilla,929,tt0120685,false,139,130000000,379014294,3217,5.596,en,1998-05-20
The Great Love,Die große Liebe,930,tt0034815,false,100,0,0,11,7.1,de,1942-06-12
Don\'t Look Now,Don\'t Look Now,931,tt0069995,false,110,1500000,0,774,7.014,en,1973-12-03
The Murderers Are Among Us,Die Mörder sind unter uns,932,tt0038769,false,91,0,0,44,7,de,1946-10-15
Hot Summer,Heißer Sommer,933,tt0061756,false,97,0,0,9,5.9,de,1968-06-20
Rififi,Du rififi chez les hommes,934,tt0048021,false,118,200000,460000,406,7.9,fr,1955-04-13
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,tt0057012,false,95,1800000,9523464,4602,8.138,en,1964-01-29
The Pink Panther,The Pink Panther,936,tt0057413,false,115,0,10878107,790,6.944,en,1963-12-18
For a Few Dollars More,Per qualche dollaro in più,938,tt0059578,false,132,600000,15000000,3178,8.037,it,1965-12-18
The Jazz Singer,The Jazz Singer,939,tt0018037,false,89,422000,2600000,150,6.3,en,1927-10-06
The Lady Vanishes,The Lady Vanishes,940,tt0030341,false,96,0,0,685,7.518,en,1938-10-07
Lethal Weapon,Lethal Weapon,941,tt0093409,false,110,15000000,120207127,3749,7.268,en,1987-03-06
Lethal Weapon 2,Lethal Weapon 2,942,tt0097733,false,114,25000000,227853986,2799,6.999,en,1989-07-07
Lethal Weapon 3,Lethal Weapon 3,943,tt0104714,false,118,35000000,321731527,2362,6.7,en,1992-05-15
Lethal Weapon 4,Lethal Weapon 4,944,tt0122151,false,127,140000000,285444603,2157,6.588,en,1998-07-10
Letter from an Unknown Woman,Letter from an Unknown Woman,946,tt0040536,false,87,0,0,229,7.906,en,1948-04-28
Lawrence of Arabia,Lawrence of Arabia,947,tt0056172,false,228,15000000,69995385,2369,7.97,en,1962-12-11
Halloween,Halloween,948,tt0077651,false,91,325000,70274000,4347,7.573,en,1978-10-24
Heat,Heat,949,tt0113277,false,170,60000000,187436818,5690,7.9,en,1995-12-15
Ice Age: The Meltdown,Ice Age: The Meltdown,950,tt0438097,false,91,80000000,660998756,8463,6.7,en,2006-03-29
Kindergarten Cop,Kindergarten Cop,951,tt0099938,false,111,15000000,201957688,2010,6.067,en,1990-12-21
Madagascar,Madagascar,953,tt0351283,false,86,75000000,542063846,9308,6.874,en,2005-05-25
Mission: Impossible,Mission: Impossible,954,tt0117060,false,110,80000000,457731198,7228,6.944,en,1996-05-22
Mission: Impossible II,Mission: Impossible II,955,tt0120755,false,123,125000000,546388105,5441,6.107,en,2000-05-24
Mission: Impossible III,Mission: Impossible III,956,tt0317919,false,126,150000000,397850012,5531,6.709,en,2006-05-03
Spaceballs,Spaceballs,957,tt0094012,false,96,22700000,38119483,2414,6.8,en,1987-06-24
The General,The General,961,tt0017925,false,79,750000,1000000,905,8.04,en,1926-12-25
The Gold Rush,The Gold Rush,962,tt0015864,false,89,923000,4000000,1227,8.026,en,1925-07-12
The Maltese Falcon,The Maltese Falcon,963,tt0033870,false,100,375000,1772000,1286,7.771,en,1941-10-18
The Phantom of the Opera,The Phantom of the Opera,964,tt0016220,false,101,0,0,251,7.2,en,1925-09-22
The Magnificent Ambersons,The Magnificent Ambersons,965,tt0035015,false,88,0,0,310,7.3,en,1942-07-10
The Magnificent Seven,The Magnificent Seven,966,tt0054047,false,128,2000000,4905000,1422,7.558,en,1960-04-14
Spartacus,Spartacus,967,tt0054331,false,197,12000000,60000000,1704,7.551,en,1960-10-13
Dog Day Afternoon,Dog Day Afternoon,968,tt0072890,false,125,1800000,46665856,2353,7.821,en,1975-08-01
Paths of Glory,Paths of Glory,975,tt0050825,false,88,935000,0,2252,8.303,en,1957-10-25
Sweet Smell of Success,Sweet Smell of Success,976,tt0051036,false,97,3400000,2500000,337,7.717,en,1957-07-04
Tabu,Tabu,977,tt0022458,false,86,0,0,114,7.3,en,1931-08-01
Seven Years in Tibet,Seven Years in Tibet,978,tt0120102,false,136,70000000,131457682,2310,7.159,en,1997-09-12
Irreversible,Irréversible,979,tt0290673,false,98,0,792200,2219,7.248,fr,2002-05-22
The Ox-Bow Incident,The Ox-Bow Incident,980,tt0036244,false,76,565000,0,277,7.8,en,1942-12-04
The Philadelphia Story,The Philadelphia Story,981,tt0032904,false,113,0,0,674,7.7,en,1940-12-05
The Manchurian Candidate,The Manchurian Candidate,982,tt0056218,false,126,2200000,7700000,528,7.625,en,1962-10-01
The Man Who Would Be King,The Man Who Would Be King,983,tt0073341,false,129,8000000,12678,472,7.5,en,1975-12-03
Dirty Harry,Dirty Harry,984,tt0066999,false,102,4000000,35976000,1901,7.5,en,1971-12-23
Eraserhead,Eraserhead,985,tt0074486,false,89,100000,7000000,1938,7.453,en,1977-09-28
Chimes at Midnight,Campanadas a medianoche,986,tt0059012,false,115,800000,0,153,7.248,en,1965-03-16
The Front Page,The Front Page,987,tt0071524,false,105,4000000,0,265,7.347,en,1974-11-01
The China Syndrome,The China Syndrome,988,tt0078966,false,122,5900000,51718367,347,7.167,en,1979-03-16
The Mortal Storm,The Mortal Storm,989,tt0032811,false,100,0,0,56,7.2,en,1940-06-20
The Hustler,The Hustler,990,tt0054997,false,134,2000000,7600000,747,7.756,en,1961-09-25
The Man Who Fell to Earth,The Man Who Fell to Earth,991,tt0074851,false,138,1500000,0,396,6.5,en,1976-03-18
Sherlock Jr.,Sherlock Jr.,992,tt0015324,false,45,0,0,692,8.156,en,1924-04-17
Sleuth,Sleuth,993,tt0069281,false,138,0,0,463,7.707,en,1972-12-10
Straw Dogs,Straw Dogs,994,tt0067800,false,116,2200000,3251794,723,7.146,en,1971-12-23
Stagecoach,Stagecoach,995,tt0031971,false,96,531374,1103757,858,7.722,en,1939-03-03
Double Indemnity,Double Indemnity,996,tt0036775,false,107,927262,2500000,1405,8.148,en,1944-06-14
